image,preset,entropy,contrast,sharpness,colorfulness,brightness,entropy_improvement,contrast_improvement,sharpness_improvement,colorfulness_improvement
low00690,baseline,5.410379,27.52416731331935,158.9976290165104,20.940964006124148,113.27124166666667,0.0,0.0,0.0,0.0
low00690,minimal,5.6315346,30.198441148116117,187.43956227039928,22.851991556695356,124.13215416666667,4.0876184,9.716093512854965,17.888275082979675,9.12578594763991
low00690,balanced,7.0761547,63.78821322366181,2189.1178499243747,43.042523906001534,168.6822875,30.788523,131.75347140399685,1276.8242101881,105.54222763294862
low00690,aggressive,4.717139,60.51864864282753,4681.29517967493,44.405298061633566,215.9761125,-12.813154,119.8745849562601,2844.2547090993553,112.049923053434
low00690,illumination_only,5.865185,30.444710127766577,198.40510401651042,23.629079531048763,126.88272083333334,8.406174,10.61083076992463,24.7849450609782,12.836636957775587
low00690,output_only,6.7246118,62.78289220735201,2376.14365403526,41.371421527404266,169.09147083333335,24.290956,128.10096847860117,1394.4522561330273,97.56216340043021
low00691,baseline,5.3778863,27.447449014029708,159.96736597222224,20.754793739097728,113.4013375,0.0,0.0,0.0,0.0
low00691,minimal,5.605969,30.114501478615843,188.47728654123262,22.6561522027907,124.27916666666667,4.241121,9.716941138037551,17.82233544681921,9.161056898923583
low00691,balanced,7.064418,63.575633426507025,2194.4193246510417,42.75088472095402,168.86104166666667,31.360493,131.62674751307662,1271.7918722448019,105.98077368709386
low00691,aggressive,4.7052794,60.46677490702582,4712.077289936648,44.03673821416241,216.2178375,-12.506903,120.30016296275238,2845.649108678131,112.1762266960347
low00691,illumination_only,5.8442783,30.36644073251999,199.3869991749306,23.44180484323157,127.02780416666667,8.672404,10.63483792974074,24.642296860444294,12.946460166800259
low00691,output_only,6.6708975,62.521157052730736,2382.011249026667,40.97996293817836,169.07656666666668,24.043112,127.78494650185222,1389.0607434520707,97.44818210831268
low00692,baseline,6.3417964,31.117196633183024,225.7813049132639,25.28235933286049,108.4589875,0.0,0.0,0.0,0.0
low00692,minimal,6.495655,34.03480350845844,269.48631644914934,27.687076269502267,118.631625,2.4261053,9.376188059833487,19.357232235270825,9.511441970197259
low00692,balanced,7.51281,69.16836684657387,2770.9276635687324,47.79788733328198,168.15166666666667,18.46502,122.283413451241,1127.2617808782759,89.0562771614323
low00692,aggressive,4.1669445,75.17682309549329,5991.823818301234,47.85499754637785,210.4298625,-34.29394,141.59253155641142,2553.817516292171,89.2821667326704
low00692,illumination_only,6.547691,35.41115592168047,292.986164040816,28.739209905928618,123.70282083333333,3.246627,13.799312769449207,29.765466699454805,13.672974612678338
low00692,output_only,7.488242,67.32675136600555,3018.857305239149,46.18279273644342,165.01959166666666,18.077618,116.36509278027015,1237.0714224540745,82.66804979872981
low00693,baseline,6.345599,30.3527297773539,202.82181583159723,25.47349118824449,108.06885416666667,0.0,0.0,0.0,0.0
low00693,minimal,6.496012,33.200931853350646,242.04233379998269,27.88009415135685,118.19845,2.370352,9.383676845177142,19.33742571408108,9.447479912855282
low00693,balanced,7.5294733,68.6221521164383,2561.72873021651,48.50100388508976,167.86590833333332,18.656618,126.08230831230583,1163.043977647607,90.39794556103878
low00693,aggressive,4.16248,74.78384948062156,5599.337106213263,47.50359884197699,211.1198375,-34.403675,146.38261543255857,2660.7173731559465,86.48248287183719
low00693,illumination_only,6.548916,34.544370789439256,262.55388034567704,28.908139487879833,123.23364166666667,3.2040582,13.809766181929142,29.450512642917708,13.483225657032685
low00693,output_only,7.49716,66.72205294353532,2792.019058333333,47.35973999439121,164.45040833333334,18.147392,119.82224805795386,1276.5871520702406,85.91774344714395
low00694,baseline,6.116622,30.506108821230548,186.69548677039927,15.490586387145417,111.6019375,0.0,0.0,0.0,0.0
low00694,minimal,6.263158,33.340840135634416,222.52058231659728,16.956910399394445,122.03634166666667,2.3956993,9.29233987532049,19.189052807825085,9.465903843806915
low00694,balanced,7.392137,68.68836213122569,2380.0612124873433,29.63626715019969,172.37285416666666,20.85326,125.16264704144248,1174.8359661282952,91.31791663350337
low00694,aggressive,3.9663048,72.53412933609637,5077.584840791597,30.564637617439796,213.98156666666668,-35.155304,137.76919488865346,2619.714830083752,97.31104332372665
low00694,illumination_only,6.382128,34.76731069617215,241.93018199159724,17.640031224500625,127.33215,4.340726,13.968355977200368,29.5854474988602,13.875813243189336
